TITLE,ARTIST,IS_NEW
Back In Black,AC/DC,false
Dirty Deeds Done Dirt Cheap,AC/DC,false
Highway to Hell,AC/DC,false
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,false
T.N.T.,AC/DC,false
Thunderstruck,AC/DC,false
Whole Lotta Rosie,AC/DC,false
You Shook Me All Night Long,AC/DC,false
Stand and Deliver,Adam & The Ants,false
Dream On,Aerosmith,false
Dude (Looks Like A Lady),Aerosmith,false
I Don't Want To Miss A Thing,Aerosmith,false
Janie's Got A Gun,Aerosmith,false
Rag Doll,Aerosmith,false
Sweet Emotion,Aerosmith,false
Forgiven,Alanis Morissette,false
Hand in My Pocket,Alanis Morissette,false
Ironic,Alanis Morissette,false
Not the Doctor,Alanis Morissette,false
Right Through You,Alanis Morissette,false
Uninvited,Alanis Morissette,false
You Oughta Know,Alanis Morissette,false
Black Velvet,Alannah Myles,false
This Could Be Anywhere in the World,Alexisonfire,false
Feed My Frankenstein,Alice Cooper,false
Poison,Alice Cooper,false
School's Out,Alice Cooper,false
Bleed The Freak,Alice In Chains,false
Down In A Hole,Alice In Chains,false
Man in the Box,Alice In Chains,false
Nutshell,Alice In Chains,false
Rooster,Alice In Chains,false
Them Bones,Alice In Chains,false
We Die Young,Alice In Chains,false
Would?,Alice In Chains,false
Dirty Little Secret,The All-American Rejects,false
"Swing, Swing",The All-American Rejects,false
Big in Japan,Alphaville,false
Forever Young,Alphaville,false
Open Your Eyes,Alter Bridge,false
The Pursuit Of Vikings,Amon Amarth,false
Twilight Of The Thunder God,Amon Amarth,false
House of the Rising Sun,The Animals,false
Caught In A Mosh,Anthrax,false
I Don't Care,Apocalyptica,false
Nemesis,Arch Enemy,false
Animals,Architects,false
Do I Wanna Know?,Arctic Monkeys,false
I Bet You Look Good On The Dancefloor,Arctic Monkeys,false
One Armed Scissor,At the Drive-In,false
Be Yourself,Audioslave,false
Cochise,Audioslave,false
Like a Stone,Audioslave,false
Bat Country,Avenged Sevenfold,false
Hail to the King,Avenged Sevenfold,false
Shepherd of Fire,Avenged Sevenfold,false
Complicated,Avril Lavigne,false
Sk8er Boi,Avril Lavigne,false
Love Shack,The B-52's,false
Private Idaho,The B-52's,false
Spaceman,Babylon Zoo,false
Like A Villain,Bad Omens,false
V.A.N,Bad Omens feat. Poppy,false
21st Century (Digital Boy),Bad Religion,false
American Jesus,Bad Religion,false
Infected,Bad Religion,false
One Week,Barenaked Ladies,false
Sabotage,Beastie Boys,false
Back In The U.S.S.R.,The Beatles,false
Come Together,The Beatles,false
Helter Skelter,The Beatles,false
I Am The Walrus,The Beatles,false
Twist And Shout,The Beatles,false
Rockin' the Suburbs,Ben Folds,false
Flesh For Fantasy,Billy Idol,false
Rebel Yell,Billy Idol,false
White Wedding,Billy Idol,false
Fallen Leaves,Billy Talent,false
Try Honesty,Billy Talent,false
Army Of Me,Björk,false
It's Oh So Quiet,Björk,false
Play Dead,Björk,false
Hard To Handle,The Black Crowes,false
Nervous Breakdown,Black Flag,false
Stillborn,Black Label Society,false
Changes,Black Sabbath,false
Children of the Grave,Black Sabbath,false
Heaven and Hell,Black Sabbath,false
Iron Man,Black Sabbath,false
N.I.B.,Black Sabbath,false
Paranoid,Black Sabbath,false
Snowblind,Black Sabbath,false
The Wizard,Black Sabbath,false
War Pigs,Black Sabbath,false
White Trash Millionaire,Black Stone Cherry,false
The Bard's Song,Blind Guardian,false
Adam's Song,blink-182,false
All The Small Things,blink-182,false
Feeling This,blink-182,false
I Miss You,blink-182,false
The Rock Show,blink-182,false
What's My Age Again?,blink-182,false
Call Me,Blondie,false
Call Me,Blondie,false
Hanging On The Telephone,Blondie,false
Heart Of Glass,Blondie,false
One Way Or Another,Blondie,false
Foxtrot Uniform Charlie Kilo,Bloodhound Gang,false
The Bad Touch,Bloodhound Gang,false
The Ballad Of Chasey Lain,Bloodhound Gang,false
(Don't Fear) The Reaper,Blue Öyster Cult,false
Beetlebum,Blur,false
Coffee & TV,Blur,false
Parklife,Blur,false
Song 2,Blur,false
Always,Bon Jovi,false
Bad Medicine,Bon Jovi,false
Livin' On A Prayer,Bon Jovi,false
Runaway,Bon Jovi,false
Wanted Dead Or Alive,Bon Jovi,false
You Give Love A Bad Name,Bon Jovi,false
Amanda,Boston,false
More Than a Feeling,Boston,false
Girl All the Bad Guys Want,Bowling For Soup,false
So Cold,Breaking Benjamin,false
The Diary of Jane,Breaking Benjamin,false
Cannonball,The Breeders,false
Drown,Bring Me The Horizon,false
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,false
Shadow Moses,Bring Me The Horizon,false
Throne,Bring Me The Horizon,false
Smalltown Boy,Bronski Beat,false
Born to Run,Bruce Springsteen,false
Dancing In the Dark,Bruce Springsteen,false
All These Things I Hate (Revolve Around Me),Bullet For My Valentine,false
Tears Don't Fall,Bullet For My Valentine,false
Your Betrayal,Bullet For My Valentine,false
Everything Zen,Bush,false
Machinehead,Bush,false
The Chemicals Between Us,Bush,false
Ever Fallen in Love (With Someone You Shouldn't've?),Buzzcocks,false
I Will Survive,CAKE,false
The Distance,CAKE,false
Hammer Smashed Face,Cannibal Corpse,false
Just Like The Movies,Cars in Drive,false
I Want You to Want Me,Cheap Trick,false
Surrender,Cheap Trick,false
The Red,Chevelle,false
Are You Dead Yet?,Children Of Bodom,false
You Know My Name,Chris Cornell,false
Wicked Game,Chris Isaak,false
I Fought the Law,The Clash,false
London Calling,The Clash,false
Rock the Casbah,The Clash,false
Should I Stay or Should I Go,The Clash,false
Train in Vain (Stand by Me),The Clash,false
Electric Worry,Clutch,false
The Mob Goes Wild,Clutch,false
Loco,Coal Chamber,false
Heaven or Las Vegas,Cocteau Twins,false
Welcome Home,Coheed and Cambria,false
Clean My Wounds,Corrosion Of Conformity,false
Nymphetamine Fix,Cradle Of Filth,false
Goo Goo Muck,The Cramps,false
Human Fly,The Cramps,false
Zombie,The Cranberries,false
Sunshine Of Your Love,Cream,false
My Sacrifice,Creed,false
With Arms Wide Open,Creed,false
Fire Woman,The Cult,false
Rain,The Cult,false
She Sells Sanctuary,The Cult,false
A Night Like This,The Cure,false
Boys Don't Cry,The Cure,false
Close To Me,The Cure,false
Fascination Street,The Cure,false
Friday I'm In Love,The Cure,false
In Between Days,The Cure,false
Just Like Heaven,The Cure,false
Lovesong,The Cure,false
Lullaby,The Cure,false
The Lovecats,The Cure,false
The Walk,The Cure,false
(I Just) Died In Your Arms,Cutting Crew,false
New Rose,The Damned,false
Her Black Wings,Danzig,false
I'm The One,Danzig,false
Long Way Back From Hell,Danzig,false
Mother,Danzig,false
Twist Of Cain,Danzig,false
Growing on Me,The Darkness,false
I Believe in a Thing Called Love,The Darkness,false
Ashes to Ashes,David Bowie,false
Heroes,David Bowie,false
I'm Afraid Of Americans,David Bowie,false
Let's Dance,David Bowie,false
Life on Mars?,David Bowie,false
If It Means A Lot To You,A Day To Remember,false
California Uber Alles,Dead Kennedys,false
Holiday in Cambodia,Dead Kennedys,false
Too Drunk To Fuck,Dead Kennedys,false
Hush,Deep Purple,false
Smoke On The Water,Deep Purple,false
Animal,Def Leppard,false
Photograph,Def Leppard,false
Pour Some Sugar On Me,Def Leppard,false
Be Quiet and Drive (Far Away),Deftones,false
Bored,Deftones,false
Change (In the House of Flies),Deftones,false
Digital Bath,Deftones,false
Knife Prty,Deftones,false
My Own Summer (Shove It),Deftones,false
Passenger,Deftones,false
Sextape,Deftones,false
Enjoy the Silence,Depeche Mode,false
Ghosts Again,Depeche Mode,false
I Feel You,Depeche Mode,false
It's No Good,Depeche Mode,false
Just Can't Get Enough,Depeche Mode,false
Never Let Me Down Again,Depeche Mode,false
Personal Jesus,Depeche Mode,false
Policy of Truth,Depeche Mode,false
Strangelove,Depeche Mode,false
Stripped,Depeche Mode,false
Whip It,DEVO,false
Holy Diver,Dio,false
Rainbow In The Dark,Dio,false
City Of Angels,The Distillers,false
Into The Fire,Dokken,false
Break on Through (To the Other Side),The Doors,false
Light My Fire,The Doors,false
Riders on the Storm,The Doors,false
Roadhouse Blues,The Doors,false
I'm Shipping Up To Boston,Dropkick Murphys,false
Bodies,Drowning Pool,false
Tear Away,Drowning Pool,false
A View to a Kill,Duran Duran,false
Hungry Like the Wolf,Duran Duran,false
Is There Something I Should Know?,Duran Duran,false
Ordinary World,Duran Duran,false
Planet Earth,Duran Duran,false
The Wild Boys,Duran Duran,false
The Killing Moon,Echo & the Bunnymen,false
The Last Crusade - A New Age Dawns 1,Epica,false
Situations,Escape the Fate,false
The Final Countdown,Europe,false
Missionary Man,Eurythmics,false
Sweet Dreams (Are Made of This),Eurythmics,false
Bring Me To Life,Evanescence,false
Call Me When You're Sober,Evanescence,false
Going Under,Evanescence,false
Lithium,Evanescence,false
My Immortal,Evanescence,false
More Than Words,Extreme,false
Ashes to Ashes,Faith No More,false
Easy,Faith No More,false
Epic,Faith No More,false
Falling to Pieces,Faith No More,false
I Started a Joke - Digging the Grave,Faith No More,false
Last Cup of Sorrow,Faith No More,false
Midlife Crisis,Faith No More,false
Surprise! You're Dead!,Faith No More,false
We Care a Lot,Faith No More,false
"A Little Less Sixteen Candles, A Little More Touch Me",Fall Out Boy,false
"Dance, Dance",Fall Out Boy,false
"Sugar, We're Goin Down",Fall Out Boy,false
"The Take Over, The Breaks Over",Fall Out Boy,false
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,false
Thnks fr th Mmrs,Fall Out Boy,false
Buck Rogers,Feeder,false
"Hey Man, Nice Shot",Filter,false
Bad Company,Five Finger Death Punch,false
Far From Home,Five Finger Death Punch,false
Under and Over It,Five Finger Death Punch,false
Go Your Own Way,Fleetwood Mac,false
The Chain,Fleetwood Mac,false
I Ran (So Far Away),A Flock Of Seagulls,false
All My Life,Foo Fighters,false
Best of You,Foo Fighters,false
Big Me,Foo Fighters,false
Breakout,Foo Fighters,false
Everlong,Foo Fighters,false
I'll Stick Around,Foo Fighters,false
Learn to Fly,Foo Fighters,false
Monkey Wrench,Foo Fighters,false
My Hero,Foo Fighters,false
The Pretender,Foo Fighters,false
This Is a Call,Foo Fighters,false
Times Like These,Foo Fighters,false
Cold as Ice,Foreigner,false
I Want to Know What Love Is,Foreigner,false
Juke Box Hero,Foreigner,false
Urgent,Foreigner,false
Far From Over,Frank Stallone,false
Hemorrhage (In My Hands),Fuel,false
Waiting Room,Fugazi,false
I Think I'm Paranoid,Garbage,false
Only Happy When It Rains,Garbage,false
Push It,Garbage,false
Queer,Garbage,false
Stupid Girl,Garbage,false
Out In The Fields,Gary Moore & Phil Lynott,false
Are 'Friends' Electric?,Gary Numan,false
Cars,Gary Numan,false
Bad To The Bone,George Thorogood & The Destroyers,false
Call Me Little Sunshine,Ghost,false
Cirice,Ghost,false
Dance Macabre,Ghost,false
Faith,Ghost,false
From The Pinnacle To The Pit,Ghost,false
He Is,Ghost,false
Hunter’s Moon,Ghost,false
Kiss The Go-Goat,Ghost,false
Life Eternal,Ghost,false
Mary On A Cross,Ghost,false
Pro Memoria,Ghost,false
Rats,Ghost,false
Square Hammer,Ghost,false
Watcher In The Sky,Ghost,false
Year Zero,Ghost,false
Silvera,Gojira,false
Stranded,Gojira,false
99 Red Balloons,Goldfinger,false
Lifestyles of the Rich & Famous,Good Charlotte,false
21 Guns,Green Day,false
American Idiot,Green Day,false
Basket Case,Green Day,false
Boulevard of Broken Dreams,Green Day,false
Brain Stew,Green Day,false
Good Riddance (Time of Your Life),Green Day,false
Hitchin' a Ride,Green Day,false
Holiday,Green Day,false
Longview,Green Day,false
Welcome to Paradise,Green Day,false
When I Come Around,Green Day,false
Don't Cry,Guns N' Roses,false
It's So Easy,Guns N' Roses,false
Mr. Brownstone,Guns N' Roses,false
Nightrain,Guns N' Roses,false
Paradise City,Guns N' Roses,false
Sweet Child O' Mine,Guns N' Roses,false
Welcome To The Jungle,Guns N' Roses,false
You Could Be Mine,Guns N' Roses,false
Familiar Taste of Poison,Halestorm,false
Here's to Us,Halestorm,false
I Get Off,Halestorm,false
I Miss the Misery,Halestorm,false
Love Bites (So Do I),Halestorm,false
Beating Heart Baby,Head Automatica,false
Alone,Heart,false
Barracuda,Heart,false
Unsung,Helmet,false
Join Me In Death,HIM,false
Solitary Man,HIM,false
Wicked Game,HIM,false
Wings of a Butterfly,HIM,false
Painted On My Heart,The Hit Co.,false
Main Offender,The Hives,false
Celebrity Skin,Hole,false
Doll Parts,Hole,false
Malibu,Hole,false
Violet,Hole,false
Crawling In The Dark,Hoobastank,false
The Reason,Hoobastank,false
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads,false
Never Fight A Man With A Perm,IDLES,false
The Passenger,Iggy Pop,false
Radioactive,Imagine Dragons,false
Drive,Incubus,false
The Warmth,Incubus,false
Wish You Were Here,Incubus,false
Devil Inside,INXS,false
Mystify,INXS,false
Need You Tonight,INXS,false
Never Tear Us Apart,INXS,false
Suicide Blonde,INXS,false
Aces High,Iron Maiden,false
Bring Your Daughter... to the Slaughter,Iron Maiden,false
Can I Play with Madness,Iron Maiden,false
Run to the Hills,Iron Maiden,false
The Evil That Men Do,Iron Maiden,false
The Trooper,Iron Maiden,false
The Wicker Man,Iron Maiden,false
Wasted Years,Iron Maiden,false
Wrathchild,Iron Maiden,false
Been Caught Stealing,Jane's Addiction,false
Mountain Song,Jane's Addiction,false
Stop!,Jane's Addiction,false
Piece of My Heart,Janis Joplin,false
Forget Her,Jeff Buckley,false
"Lover, You Should've Come Over",Jeff Buckley,false
Somebody to Love,Jefferson Airplane,false
White Rabbit,Jefferson Airplane,false
Are You Gonna Be My Girl,Jet,false
All Along the Watchtower,Jimi Hendrix,false
Crosstown Traffic,Jimi Hendrix,false
Fire,Jimi Hendrix,false
Foxey Lady,Jimi Hendrix,false
Hey Joe,Jimi Hendrix,false
Purple Haze,Jimi Hendrix,false
A Praise Chorus,Jimmy Eat World,false
Pain,Jimmy Eat World,false
Sweetness,Jimmy Eat World,false
The Middle,Jimmy Eat World,false
Bad Reputation,Joan Jett & the Blackhearts,false
Crimson and Clover,Joan Jett & the Blackhearts,false
I Hate Myself for Loving You,Joan Jett & the Blackhearts,false
I Love Rock 'N Roll,Joan Jett & the Blackhearts,false
Summer in the City,Joe Cocker,false
Blaze Of Glory,Jon Bon Jovi,false
Any Way You Want It,Journey,false
Don't Stop Believin',Journey,false
Separate Ways (Worlds Apart),Journey,false
Disorder,Joy Division,false
Love Will Tear Us Apart,Joy Division,false
She's Lost Control,Joy Division,false
Transmission,Joy Division,false
Breaking the Law,Judas Priest,false
Living After Midnight,Judas Priest,false
Turbo Lover,Judas Priest,false
You've Got Another Thing Coming,Judas Priest,false
Babooshka,Kate Bush,false
Running Up That Hill (A Deal With God),Kate Bush,false
Nightcall,Kavinsky,false
My Curse,Killswitch Engage,false
My Last Serenade,Killswitch Engage,false
The End of Heartache,Killswitch Engage,false
When Darkness Falls,Killswitch Engage,false
Closer,Kings of Leon,false
Sex on Fire,Kings of Leon,false
All Day and All of the Night,The Kinks,false
Lola,The Kinks,false
You Really Got Me,The Kinks,false
Crazy Crazy Nights,KISS,false
Detroit Rock City,KISS,false
God Gave Rock 'N' Roll To You II,KISS,false
I Was Made For Lovin' You,KISS,false
Lick It Up,KISS,false
Love Gun,KISS,false
Rock And Roll All Nite,KISS,false
Strutter,KISS,false
Blind,Korn,false
Coming Undone,Korn,false
Falling Away from Me,Korn,false
Freak On a Leash,Korn,false
Got the Life,Korn,false
Here To Stay,Korn,false
Twisted Transistor,Korn,false
Word Up!,Korn,false
Y'all Want a Single,Korn,false
Pretend We're Dead,L7,false
Shitlist,L7,false
Heaven's a Lie,Lacuna Coil,false
Our Truth,Lacuna Coil,false
Swamped,Lacuna Coil,false
Laid to Rest,Lamb of God,false
Now You've Got Something to Die For,Lamb of God,false
Omerta,Lamb of God,false
Redneck,Lamb of God,false
Immigrant Song,Led Zeppelin,false
Rock and Roll,Led Zeppelin,false
Whole Lotta Love,Led Zeppelin,false
Steal My Sunshine,LEN,false
Always On The Run,Lenny Kravitz,false
American Woman,Lenny Kravitz,false
Are You Gonna Go My Way,Lenny Kravitz,false
All My Best Friends Are Metalheads,Less Than Jake,false
Break Stuff,Limp Bizkit,false
Eat You Alive,Limp Bizkit,false
Faith,Limp Bizkit,false
My Generation,Limp Bizkit,false
My Way,Limp Bizkit,false
Nookie,Limp Bizkit,false
Rollin' (Air Raid Vehicle),Limp Bizkit,false
Take A Look Around,Limp Bizkit,false
Bleed It Out,Linkin Park,false
Breaking the Habit,Linkin Park,false
Crawling,Linkin Park,false
Faint,Linkin Park,false
Given Up,Linkin Park,false
Heavy Is the Crown,Linkin Park,false
In the End,Linkin Park,false
Numb,Linkin Park,false
One Step Closer,Linkin Park,false
Papercut,Linkin Park,false
Points of Authority,Linkin Park,false
Somewhere I Belong,Linkin Park,false
The Emptiness Machine,Linkin Park,false
What I've Done,Linkin Park,false
With You,Linkin Park,false
My Own Worst Enemy,Lit,false
Cult of Personality,Living Colour,false
Free Bird,Lynyrd Skynyrd,false
Gimme Three Steps,Lynyrd Skynyrd,false
Sweet Home Alabama,Lynyrd Skynyrd,false
Davidian,Machine Head,false
Baggy Trousers,Madness,false
One Step Beyond,Madness,false
Warriors of the World United,Manowar,false
Sex & Candy,Marcy Playground,false
I Don't Like The Drugs (But The Drugs Like Me),Marilyn Manson,false
mOBSCENE,Marilyn Manson,false
Rock Is Dead,Marilyn Manson,false
The Beautiful People,Marilyn Manson,false
The Dope Show,Marilyn Manson,false
This Is The New Shit,Marilyn Manson,false
Tourniquet,Marilyn Manson,false
The Widow,The Mars Volta,false
Blood and Thunder,Mastodon,false
