TITLE,ALBUM,ARTIST,IS_NEW
Here Comes Your Man,Doolittle,Pixies,false
Hey,Doolittle,Pixies,false
Monkey Gone to Heaven,Doolittle,Pixies,false
Wave Of Mutilation,Doolittle,Pixies,false
Where Is My Mind?,Surfer Rosa (2007 Remaster),Pixies,false
Down By The Water,To Bring You My Love,PJ Harvey,false
Every You Every Me,Without You I'm Nothing,Placebo,false
Nancy Boy,Placebo,Placebo,false
Pure Morning,Without You I'm Nothing,Placebo,false
Running Up That Hill,Covers,Placebo,false
The Bitter End,Sleeping With Ghosts,Placebo,false
Meds,Meds,"Placebo,Alison Mosshart",false
Every Rose Has Its Thorn,Open Up And Say...Ahh!,Poison,false
Nothin' But A Good Time,,Poison,true
Talk Dirty To Me,Look What The Cat Dragged In - 20th Anniversary Edition,Poison,false
Unskinny Bop,Flesh & Blood,Poison,false
Your Mama Don't Dance,Open Up And Say...Ahh!,Poison,false
Can't Stand Losing You,Outlandos D'Amour (Remastered 2003),The Police,false
Message In A Bottle,Reggatta De Blanc (Remastered 2003),The Police,false
Glory Box,Dummy,Portishead,false
Sour Times,Dummy,Portishead,false
Lump,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,The Presidents Of The United States Of America,false
Peaches,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,The Presidents Of The United States Of America,false
Heaven Knows,Going to Hell,The Pretty Reckless,false
Make Me Wanna Die,Light Me Up,The Pretty Reckless,false
My Medicine,Light Me Up,The Pretty Reckless,false
Take Me Down,Who You Selling For,The Pretty Reckless,false
Jerry Was A Race Car Driver,Sailing The Seas Of Cheese,Primus,false
John The Fisherman,They Can't All Be Zingers,Primus,false
Tommy The Cat,Sailing The Seas Of Cheese,Primus,false
Wynona's Big Brown Beaver,Tales From The Punchbowl,Primus,false
Blurry,Come Clean,Puddle Of Mudd,false
Control,Come Clean,Puddle Of Mudd,false
She Hates Me,Come Clean,Puddle Of Mudd,false
Another One Bites The Dust,The Game,Queen,false
Bohemian Rhapsody,A Night At The Opera,Queen,false
Breakthru,The Miracle,Queen,false
Crazy Little Thing Called Love,The Game,Queen,false
Don't Stop Me Now,Jazz,Queen,false
Fat Bottomed Girls,Jazz,Queen,false
Flash,Flash Gordon,Queen,false
Hammer To Fall,Greatest Hits II,Queen,false
I Want To Break Free,The Works,Queen,false
It'S A Kind Of Magic (Highlander),Highlander - Best Of Fantasy,Queen,false
Killer Queen,Sheer Heart Attack,Queen,false
One Vision,A Kind Of Magic,Queen,false
Somebody To Love,A Day At The Races,Queen,false
Stone Cold Crazy,Sheer Heart Attack,Queen,false
The Show Must Go On,Innuendo,Queen,false
Too Much Love Will Kill You,Made In Heaven,Queen,false
We Are The Champions,News Of The World,Queen,false
We Will Rock You,News Of The World,Queen,false
Who Wants To Live Forever,Greatest Hits II,Queen,false
You're My Best Friend,A Night At The Opera,Queen,false
Under Pressure,Hot Space,"Queen,David Bowie",false
3's & 7's,Era Vulgaris,Queens of the Stone Age,false
Go With The Flow,Songs For The Deaf,Queens of the Stone Age,false
I Sat by the Ocean,...Like Clockwork,Queens of the Stone Age,false
Little Sister,Lullabies To Paralyze,Queens of the Stone Age,false
Make It Wit Chu,Era Vulgaris,Queens of the Stone Age,false
No One Knows,Songs For The Deaf,Queens of the Stone Age,false
The Lost Art Of Keeping A Secret,Rated R - Deluxe Edition,Queens of the Stone Age,false
The Way You Used To Do,Villains,Queens of the Stone Age,false
"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",Songs For The Deaf,Queens of the Stone Age,false
Breaking The Silence,Operation: Mindcrime,Queensrÿche,false
Cum on Feel the Noize,Metal Health,Quiet Riot,false
Metal Health (Bang Your Head),Metal Health,Quiet Riot,false
It's The End Of The World As We Know It (And I Feel Fine),Document (R.E.M. No. 5),R.E.M.,false
Losing My Religion,Out Of Time (25th Anniversary Edition),R.E.M.,false
Man On The Moon,Automatic For The People,R.E.M.,false
Orange Crush,"R.E.M.'s Top Forty Playlist (according to Berry, Buck, Mills and Stipe)",R.E.M.,false
The One I Love,Document - 25th Anniversary Edition,R.E.M.,false
"What’s The Frequency, Kenneth?","R.E.M.'s Top Forty Playlist (according to Berry, Buck, Mills and Stipe)",R.E.M.,false
Burn the Witch,A Moon Shaped Pool,Radiohead,false
Creep,Pablo Honey,Radiohead,false
High and Dry,The Bends,Radiohead,false
Just,The Bends,Radiohead,false
Karma Police,OK Computer,Radiohead,false
My Iron Lung,The Bends,Radiohead,false
Street Spirit (Fade Out),The Bends,Radiohead,false
Renegades Of Funk,Renegades,Rage Against The Machine,false
Since You Been Gone,Down To Earth,Rainbow,false
Amerika,"Reise, Reise",Rammstein,false
Angst,Zeit,Rammstein,false
Benzin,Rosenrot,Rammstein,false
Deutschland,Rammstein,Rammstein,false
Dicke Titten,Zeit,Rammstein,false
Du hast,Sehnsucht (Anniversary Edition - Remastered),Rammstein,false
Du riechst so gut,Herzeleid (XXV Anniversary Edition – Remastered),Rammstein,false
Engel,Sehnsucht (Anniversary Edition - Remastered),Rammstein,false
Feuer frei!,Mutter,Rammstein,false
Ich will,Mutter,Rammstein,false
Keine Lust,"Reise, Reise",Rammstein,false
Mein Teil,"Reise, Reise",Rammstein,false
Ohne dich,"Reise, Reise",Rammstein,false
Pussy,Liebe ist für alle da,Rammstein,false
Sonne,Mutter,Rammstein,false
"Baby, I Love You",End of the Century (Expanded 2005 Remaster),Ramones,false
Blitzkrieg Bop,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Ramones,false
I Wanna Be Sedated,Road to Ruin (40th Anniversary Deluxe Edition),Ramones,false
Pet Sematary,Brain Drain,Ramones,false
Sheena Is a Punk Rocker,Rocket to Russia (40th Anniversary Deluxe Edition),Ramones,false
Roots Radical,...And Out Come The Wolves,Rancid,false
Ruby Soho,...And Out Come The Wolves,Rancid,false
Time Bomb,...And Out Come The Wolves,Rancid,false
In the Shadows,Dead Letters,The Rasmus,false
Round and Round,The Essentials: Ratt,Ratt,false
Aeroplane,One Hot Minute,Red Hot Chili Peppers,false
Around the World,Californication,Red Hot Chili Peppers,false
Breaking the Girl,Blood Sugar Sex Magik,Red Hot Chili Peppers,false
Californication,Californication,Red Hot Chili Peppers,false
Can't Stop,By the Way,Red Hot Chili Peppers,false
Dani California,Stadium Arcadium,Red Hot Chili Peppers,false
Fortune Faded,Greatest Hits,Red Hot Chili Peppers,false
Give It Away,Blood Sugar Sex Magik,Red Hot Chili Peppers,false
Otherside,Californication,Red Hot Chili Peppers,false
Scar Tissue,Californication,Red Hot Chili Peppers,false
Soul to Squeeze,Greatest Hits,Red Hot Chili Peppers,false
Suck My Kiss,Blood Sugar Sex Magik,Red Hot Chili Peppers,false
Under the Bridge,Blood Sugar Sex Magik,Red Hot Chili Peppers,false
Savior,Appeal To Reason,Rise Against,false
Swing Life Away,Siren Song Of The Counter-Culture,Rise Against,false
Dragula,Hellbilly Deluxe,Rob Zombie,false
Living Dead Girl,Hellbilly Deluxe,Rob Zombie,false
Superbeast,Hellbilly Deluxe,Rob Zombie,false
(I Can't Get No) Satisfaction,Out Of Our Heads,The Rolling Stones,false
Brown Sugar,Sticky Fingers,The Rolling Stones,false
Gimme Shelter,Let It Bleed,The Rolling Stones,false
Jumpin' Jack Flash,Forty Licks,The Rolling Stones,false
Love Is Strong,Voodoo Lounge (Remastered 2009),The Rolling Stones,false
"Paint It, Black",Aftermath,The Rolling Stones,false
Start Me Up,Tattoo You (2009 Re-Mastered),The Rolling Stones,false
Sympathy For The Devil,Beggars Banquet (50th Anniversary Edition),The Rolling Stones,false
Under My Thumb,Aftermath,The Rolling Stones,false
Walk This Way (feat. Aerosmith),Raising Hell,"Run–D.M.C.,Aerosmith",false
Cherry Bomb,The Runaways,The Runaways,false
Limelight,Moving Pictures,Rush,false
Tom Sawyer,Moving Pictures,Rush,false
Hurricane,Scorpions,Scorpions,false
Wind Of Change,Crazy World,Scorpions,false
Refuse / Resist,Chaos A.D.,Sepultura,false
Roots Bloody Roots,Roots,Sepultura,false
Empty Walls,Elect the Dead (Deluxe),Serj Tankian,false
Stay,Hormonally Yours (Remastered and Expanded),Shakespears Sister,false
Hurry Up Harry,Angels With Dirty Faces,Sham 69,false
Tear You Apart,,She Wants Revenge,true
These Things,,She Wants Revenge,true
A Symptom Of Being Human,Planet Zero,Shinedown,false
Cities In Dust,Tinderbox,Siouxsie and the Banshees,false
Face To Face,Superstition (Expanded Edition),Siouxsie and the Banshees,false
Happy House,Kaleidoscope (Remastered & Expanded),Siouxsie and the Banshees,false
Peek-A-Boo,Peepshow (Remastered And Expanded),Siouxsie and the Banshees,false
Spellbound,Juju,Siouxsie and the Banshees,false
18 and Life,Skid Row,Skid Row,false
Youth Gone Wild,Skid Row,Skid Row,false
Brazen (Weep),Stoosh,Skunk Anansie,false
Hedonism (Just Because You Feel Good),Stoosh,Skunk Anansie,false
Twisted (Everyday Hurts),Stoosh,Skunk Anansie,false
Weak,Paranoid & Sunburnt,Skunk Anansie,false
Angel Of Death,Reign In Blood (Expanded),Slayer,false
Dead Skin Mask,Seasons In The Abyss,Slayer,false
Raining Blood,Reign In Blood (Expanded),Slayer,false
South Of Heaven,South Of Heaven,Slayer,false
War Ensemble,Seasons In The Abyss,Slayer,false
Alkaline,,Sleep Token,true
Blood Sport,,Sleep Token,true
Chokehold,,Sleep Token,true
Rain,,Sleep Token,true
The Offering,,Sleep Token,true
The Summoning,,Sleep Token,true
(sic),Slipknot (10th Anniversary Edition),Slipknot,false
Before I Forget,Vol. 3: The Subliminal Verses,Slipknot,false
Duality,Vol. 3: The Subliminal Verses,Slipknot,false
People = Shit,Iowa,Slipknot,false
Psychosocial,All Hope Is Gone (10th Anniversary),Slipknot,false
Snuff,All Hope Is Gone,Slipknot,false
Spit It Out,Slipknot (10th Anniversary Edition),Slipknot,false
The Heretic Anthem,Iowa,Slipknot,false
Unsainted,We Are Not Your Kind,Slipknot,false
"Vermilion, Pt. 2",Vol. 3: The Subliminal Verses,Slipknot,false
Wait and Bleed,Slipknot (10th Anniversary Edition),Slipknot,false
1979,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,false
Ava Adore,Adore (Super Deluxe),The Smashing Pumpkins,false
Bullet With Butterfly Wings,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,false
Disarm,Siamese Dream,The Smashing Pumpkins,false
Perfect,Adore (Super Deluxe),The Smashing Pumpkins,false
The Beginning Is The End Is The Beginning,Adore (Super Deluxe),The Smashing Pumpkins,false
Today,(Rotten Apples) The Smashing Pumpkins Greatest Hits,The Smashing Pumpkins,false
"Tonight, Tonight",Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,false
Zero,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,false
Ask,Louder Than Bombs,The Smiths,false
Bigmouth Strikes Again,The Queen Is Dead,The Smiths,false
Girlfriend in a Coma,"Strangeways, Here We Come",The Smiths,false
Heaven Knows I'm Miserable Now,Hatful of Hollow,The Smiths,false
How Soon Is Now?,Hatful of Hollow,The Smiths,false
I Started Something I Couldn't Finish,"Strangeways, Here We Come",The Smiths,false
Panic,Louder Than Bombs,The Smiths,false
Sheila Take a Bow,Louder Than Bombs,The Smiths,false
Stop Me If You Think You've Heard This One Before,"Strangeways, Here We Come",The Smiths,false
This Charming Man,The Smiths,The Smiths,false
Unhappy Birthday,"Strangeways, Here We Come",The Smiths,false
What Difference Does It Make?,The Smiths,The Smiths,false
Sex Dwarf,Non-Stop Erotic Cabaret,Soft Cell,false
Tainted Love,Non-Stop Erotic Cabaret,Soft Cell,false
Halo,,Soil,true
Black Hole Sun,Superunknown,Soundgarden,false
Burden In My Hand,Down On The Upside,Soundgarden,false
Fell On Black Days,Superunknown,Soundgarden,false
Outshined,Badmotorfinger (25th Anniversary Remaster),Soundgarden,false
Pretty Noose,Down On The Upside,Soundgarden,false
Rusty Cage,Badmotorfinger (25th Anniversary Remaster),Soundgarden,false
Spoonman,Superunknown (20th Anniversary),Soundgarden,false
A Message to You Rudy,The Specials,The Specials,false
Circle With Me,Eternal Blue,Spiritbox,false
It's Been Awhile,Break the Cycle,Staind,false
Outside,Break the Cycle,Staind,false
We Built This City,Knee Deep In The Hoopla,Starship,false
Push It,Wisconsin Death Trip,Static-X,false
Edge of Seventeen,Bella Donna (2016 Remastered),Stevie Nicks,false
Dead & Bloated,Core,Stone Temple Pilots,false
Interstate Love Song,Purple (2019 Remaster),Stone Temple Pilots,false
Plush,Core,Stone Temple Pilots,false
Sex Type Thing,Core (Super Deluxe Edition),Stone Temple Pilots,false
Vasoline,Purple (2019 Remaster),Stone Temple Pilots,false
I Wanna Be Your Dog,The Stooges,The Stooges,false
Search and Destroy,Raw Power (Iggy Mix - 2023 Remaster),The Stooges,false
Last Nite,Is This It,The Strokes,false
Santeria,Sublime,Sublime,false
What I Got,Sublime,Sublime,false
Institutionalized,Suicidal Tendencies,Suicidal Tendencies,false
You Can't Bring Me Down,Lights...Camera...Revolution,Suicidal Tendencies,false
Fat Lip,"All Killer, No Filler",Sum 41,false
In Too Deep,"All Killer, No Filler",Sum 41,false
Burning Heart,Survivor Greatest Hits,Survivor,false
Eye of the Tiger,Eye Of The Tiger,Survivor,false
Ballroom Blitz,Rock Band Classics,Sweet,false
Aerials,Toxicity,System Of A Down,false
B.Y.O.B.,Mezmerize,System Of A Down,false
Bounce,Toxicity,System Of A Down,false
Chop Suey!,Toxicity,System Of A Down,false
Chop Suey!,Toxicity,System Of A Down,false
Cigaro,Mezmerize,System Of A Down,false
Deer Dance,Toxicity,System Of A Down,false
Forest,Toxicity,System Of A Down,false
I-E-A-I-A-I-O,Steal This Album!,System Of A Down,false
Lonely Day,Hypnotize,System Of A Down,false
Prison Song,Toxicity,System Of A Down,false
Question!,Mezmerize,System Of A Down,false
Radio/Video,Mezmerize,System Of A Down,false
Roulette,Steal This Album!,System Of A Down,false
Spiders,System Of A Down,System Of A Down,false
Sugar,System Of A Down,System Of A Down,false
Vicinity Of Obscenity,Hypnotize,System Of A Down,false
Violent Pornography,Mezmerize,System Of A Down,false
20th Century Boy,Tanx (The Visconti Master),T. Rex,false
Bang A Gong (Get It On),Bang A Gong (Get It On),T. Rex,false
Children of the Revolution,Tanx (The Visconti Master),T. Rex,false
It's My Life,It's My Life,Talk Talk,false
Life's What You Make It,The Colour of Spring,Talk Talk,false
Burning Down the House,Burning Down the House / I Get Wild / Wild Gravity,Talking Heads,false
Psycho Killer,Talking Heads '77,Talking Heads,false
Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,false
Head Over Heels,Rule The World: The Greatest Hits,Tears For Fears,false
Mad World,The Hurting,Tears For Fears,false
Pale Shelter,The Hurting,Tears For Fears,false
Shout,Songs From The Big Chair,Tears For Fears,false
Fuck Her Gently,Tenacious D,Tenacious D,false
Kickapoo,The Pick Of Destiny,Tenacious D,false
Kielbasa,Tenacious D,Tenacious D,false
Master Exploder,The Pick Of Destiny,Tenacious D,false
Tribute,Tenacious D,Tenacious D,false
Wonderboy,Tenacious D,Tenacious D,false
Chinatown,Chinatown,Thin Lizzy,false
Cold Sweat,Thunder And Lightning,Thin Lizzy,false
Dancing In The Moonlight,Bad Reputation (Expanded Edition),Thin Lizzy,false
Don't Believe A Word,Johnny The Fox,Thin Lizzy,false
Emerald,Jailbreak,Thin Lizzy,false
The Boys Are Back In Town,Jailbreak,Thin Lizzy,false
Waiting For An Alibi,Black Rose,Thin Lizzy,false
Whiskey In The Jar,Shades Of A Blue Orphanage (Deluxe),Thin Lizzy,false
Semi-Charmed Life,Third Eye Blind,Third Eye Blind,false
Animal I Have Become,One-X,Three Days Grace,false
I Hate Everything About You,Three Days Grace,Three Days Grace,false
I Need to Know,You're Gonna Get It!,Tom Petty and the Heartbreakers,false
Refugee,Damn The Torpedoes,Tom Petty and the Heartbreakers,false
Hooker With A Penis,Ænima,TOOL,false
Prison Sex,Undertow,TOOL,false
Stinkfist,Ænima,TOOL,false
Cornflake Girl,Under the Pink,Tori Amos,false
Africa,Toto IV,TOTO,false
Hold the Line,Toto,TOTO,false
In Waves,In Waves,Trivium,false
Pull Harder on the Strings of Your Martyr,Ascendancy,Trivium,false
I Wanna Rock,Stay Hungry,Twisted Sister,false
We're Not Gonna Take It,Stay Hungry,Twisted Sister,false
Black No. 1 (Little Miss Scare -All),Bloody Kisses (Top Shelf Edition),Type O Negative,false
Christian Woman,Bloody Kisses (Top Shelf Edition),Type O Negative,false
I Don't Wanna Be Me,Life Is Killing Me,Type O Negative,false
My Girlfriend's Girlfriend,October Rust,Type O Negative,false
Summer Breeze,Bloody Kisses,Type O Negative,false
Everything About You,America's Least Wanted,Ugly Kid Joe,false
Teenage Kicks,The Anthology,The Undertones,false
The Bird and the Worm,Lies for the Liars,The Used,false
The Taste of Ink,The Used,The Used,false
Ain't Talkin' 'Bout Love,Van Halen,Van Halen,false
Hot for Teacher,1984,Van Halen,false
Jump,1984,Van Halen,false
Panama,1984,Van Halen,false
Runnin' with the Devil,Van Halen,Van Halen,false
Why Can't This Be Love,5150,Van Halen,false
Turning Japanese - Non Stop Edit,New Clear Days,The Vapors,false
Fall to Pieces,Contraband,Velvet Revolver,false
Slither,Contraband,Velvet Revolver,false
Seether,American Thighs,Veruca Salt,false
Sports,Street Worms,Viagra Boys,false
Blister In The Sun,Violent Femmes,Violent Femmes,false
Fade To Grey,Visage,Visage,false
The Devil's Bleeding Crown,Seal The Deal & Let's Boogie (Deluxe),Volbeat,false
Animal (Fuck Like A Beast),W.A.S.P.,W.A.S.P.,false
Wild Child,The Last Command,W.A.S.P.,false
Check Yes Juliet,We The Kings,We The Kings,false
Hash Pipe,Weezer,Weezer,false
Island In The Sun,Weezer,Weezer,false
Chaise Longue,Wet Leg,Wet Leg,false
Teenage Dirtbag,Wheatus,Wheatus,false
Fell In Love With a Girl,White Blood Cells,The White Stripes,false
My Doorbell,Get Behind Me Satan,The White Stripes,false
Seven Nation Army,Elephant,The White Stripes,false
More Human Than Human,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",White Zombie,false
Thunder Kiss '65,La Sexorcisto: Devil Music Volume 1,White Zombie,false
Angels,The Silent Force,Within Temptation,false
Faster,The Unforgiving,Within Temptation,false
Memories,The Silent Force,Within Temptation,false
Stand My Ground,The Silent Force,Within Temptation,false
parents,weird!,YUNGBLUD,false